DIDELE 	 d'""id'el'e:
PAMETĖ 	 p""am'et'E:
VORAS 	 v""o:ras
MUSES 	 mus'""es
PAGAUS 	 pag^aus
TĖVAS 	 t'""E:vas
NEMUŠĖ 	 n'""emuS'E:
SMARKEI 	 sma.^r.'k'ei
PREKES 	 p'r'ek'""es
URMU 	 ""u.r.mu
PIRKO 	 p'i.^r.ko:
VIEŠNE 	 v'^ieS'n'e:
ČOBOTAS 	 tS""ObOtas
UŠKALBINO 	 uSk""a.l.'b'ino:
TIKRAS 	 t'""ikras
GINČAS 	 g'i.^n.tSas
KILO 	 k'""ilo:
JONAS 	 j^o:nas
VEDA 	 v'^e:da
KARVE 	 k""a.r.'v'e:
TĖVAS 	 t'""E:vas
VYSTO 	 v'""i:sto:
SŪNŪ 	 s""u:nu:
GREITAI 	 gr'^eitai
STVĖRĖ 	 s't'v'""E:r'E:
ŠLUOTĄ 	 Sl""uota:
ATITEKS 	 at'it'""eks
EIKLUS 	 eikl""us
ARKLYS 	 a.r.'kl'^i:s
KAIMYNUI 	 kaim'""i:nui
TEIKIU 	 t'eik'""iu
PAGALBĄ 	 pag""a.l.ba:
VISADA 	 v'isad""a
GEIDŽIU 	 g'eidZ'""iu
PINIGŪ 	 p'in'ig^u:
PRINTSAS 	 p'r'""i.n.tsas
PUOTĄ 	 p^uota:
KĖLĖ 	 k'""E:l'E:
TEKS 	 t'""eks
KELTI 	 k'""e.l.'t'i
KELMUS 	 k'""e.l.mus
VAIKAS 	 v^aikas
RĖKĖ 	 r'^E:k'E:
SKARDŽEI 	 ska.^r.'dZ'ei
LĖKTUVAS 	 l'E:kt""uvas
KILTI 	 k'""i.l.'t'i
PRADĖJO 	 prad'""E:jo:
DAIKTAMS 	 daikt""a.m.s
DĖŽIŪ 	 d'E:Z'^iu:
PRITRŪKO 	 p'r'itr""u:ko:
SŪNUS 	 su:n""us
PADĖKOTI 	 pad'E:k""o:t'i
PAMIRŠO 	 pam'i.^r.So:
TETOS 	 t'et^o:s
PAKLODĖ 	 pakl^o:d'E:
SUPLYŠO 	 sup'l'""i:So:
DIDELĖS 	 d'""id'el'E:s
ILTYS 	 ""i.l.'t'i:s
VILKO 	 v'i.^l.ko:
GREIČEU 	 gr'eitS'^eu
PILKIME 	 p'""i.l.'k'im'e
SRIUBĄ 	 s'r'""iuba:
TĖVO 	 t'""E:vo:
DILBY 	 d'""i.l.'b'i:
SUŽEIDĖ 	 s""uZ'eid'E:
VĖJAS 	 v'""E:jas
LAPUS 	 lap""us
PASKLEIDĖ 	 p""as'kl'eid'E:
TURBŪT 	 tu.r.b""u:t
NELAŠA 	 n'""elaSa
SKYSTIS 	 s'k'^i:s't'is
TAS 	 t""as
VAIKIS 	 v^aik'is
VĖPLA 	 v'""E:pla
TIKRAS 	 t'""ikras
TĖVAS 	 t'""E:vas
ROGES 	 ro:g'""es
PATAISĖ 	 pat^ais'E:
NAUJA 	 nauj""a
PARODA 	 paro:d""a
PATIKO 	 pat'""iko:
PETRAS 	 p'^e:tras
MEISTRO 	 m'""eistro:
SULAUKS 	 sul^auks
VISUS 	 v'is""us
ROMANUS 	 rOman""us
PERSKAITĖ 	 p'""e.r.skait'E:
DĖDĖS 	 d'^E:d'E:s
VAGA 	 vag""a
KREIVA 	 kr'eiv""a
GREIT 	 gr'^eit
ATVARYS 	 atvar'^i:s
ARKLIUS 	 ""a.r.'kl'ius
MUS 	 m""us
GARŠVA 	 ga.r.Sv""a
SUTIKO 	 sut'""iko:
PRADĖJO 	 prad'""E:jo:
KURSUOTI 	 ku.r.s""uot'i
TROLEIBUSAS 	 trOl'eib""usas
VEŽIMŪ 	 v'eZ'""imu:
GURGUOLĖ 	 gu.r.g^uol'E:
PAJUDĖJO 	 pajud'""E:jo:
TETOS 	 t'et^o:s
ALGA 	 a.l.g""a
PRADINGO 	 prad'i.^N.go:
NORI 	 n""o:r'i
ŠALTŪ 	 Sa.l.t^u:
PYRĄGŪ 	 p'i:r^a:gu:
MAMA 	 mam""a
BALDUS 	 ba.l.d""us
TVARKO 	 tva.^r.ko:
MIŠKUOSE 	 m'iSk^uos'e
GEGUTĖ 	 g'eg""ut'E:
KUKUOS 	 kuk""uos
ONA 	 o:n""a
SUGEBĖS 	 sug'eb'^E:s
PADARYTI 	 padar'""i:t'i
DŽEUGĖSI 	 dZ'^eug'E:s'i
PASTOGE 	 past""o:g'e
PRASTA 	 prast""a
MERGOS 	 m'e.r.g^o:s
NAGAI 	 nag^ai
PAJUODO 	 paj^uodo:
VAIKAS 	 v^aikas
PĄNAGE 	 p^a:nag'e:
SUSIŽEIDĖ 	 sus'""iZ'eid'E:
PREKĖS 	 p'r'^e:k'E:s
KAINA 	 k""aina
PER 	 p'e.^r.
DIDELĖ 	 d'""id'el'E:
BUTELIO 	 b""ut'el'io:
KAMŠTIS 	 ka.^m.'S't'is
UŠKLIUVO 	 uS'kl'""iuvo:
MEDŽIOTOJAI 	 m'edZ'""io:to:jai
DRAMBLY 	 dra.^m.'b'l'i:
SUGĄVO 	 sug^a:vo:
MĖSOS 	 m'E:s^o:s
IMPORTAS 	 i.m.p""Ortas
PADIDĖJO 	 pad'id'""E:jo:
SUVERSTA 	 s""uv'e.r.sta
ŠIMTAI 	 S'i.m.t^ai
KELMŪ 	 k'e.l.m^u:
VISADA 	 v'isad""a
GIMDAI 	 g'i.m.d^ai
SUNKEI 	 su.^N.'k'ei
KAŠKAIP 	 kaSk^aip
JERUBĖ 	 jerub'^E:
PRAGYDO 	 prag'""i:do:
TAU 	 t""au
BEJE 	 b'ej""e
TIKS 	 t'""iks
DIDELIS 	 d'""id'el'is
BITYNAS 	 b'it'""i:nas
BUVO 	 b""uvo:
KAREI 	 kar'^ei
GROBIKUS 	 gro:b'ik""us
IŠVIJO 	 iS'v'""ijo:
IŠ 	 ""iS
PYKČIO 	 p'^i:ktS'io:
PASIUTAU 	 pas'iut^au
BAISEI 	 b^ais'ei
TURBŪT 	 tu.r.b""u:t
NUDŽIUGAU 	 nudZ'iug^au
SUPRĄTES 	 supr^a:t'e:s
VISIEM 	 v'is'""iem
SKELBIU 	 s'k'""e.l.'b'iu
TAIKĄ 	 t^aika:
DĖDĖ 	 d'^E:d'E:
KRIOKTI 	 kr'^io:kt'i
PRADĖJO 	 prad'""E:jo:
TĖVAS 	 t'""E:vas
RIOKSO 	 r'^io:kso:
KAIP 	 k^aip
KELMAS 	 k'""e.l.mas
TURĖS 	 tur'^E:s
UGDYTI 	 ugd'""i:t'i
ATSAKOMYBE 	 atsako:m'""i:b'e:
KAMPE 	 ka.m.'p'""e
TUPIU 	 tup'""iu
TYLEI 	 t'^i:l'ei
LABAI 	 lab^ai
TRUGDAU 	 trugd^au
TĖVUI 	 t'""E:vui
NAUJU 	 nauj""u
TILTU 	 t'""i.l.tu
PARVAŽEVO 	 pa.r.vaZ'^e:vo:
PAKVIETĖ 	 p""akv'iet'E:
KANTRŪ 	 ka.^n.tru:
PADĖJĖJĄ 	 pad'E:j""E:ja:
MŪSŪ 	 m""u:su:
GANDRAS 	 ga.^n.dras
IŠSKRIDO 	 iS's'kr'""ido:
ARKLYS 	 a.r.'kl'^i:s
ĖDA 	 ""E:da
ŠIENĄ 	 S'""iena:
TURBŪT 	 tu.r.b""u:t
GĖDA 	 g'""E:da
PASIDĄRĖ 	 pas'id^a:r'E:
DĖDĖ 	 d'^E:d'E:
SĖSTŪ 	 s'""E:stu:
TOLEU 	 to:l'^eu
GREIČEU 	 gr'eitS'^eu
TEMPKIME 	 t'e.^m.'p'k'im'e
KELMUS 	 k'""e.l.mus
JŪRA 	 j""u:ra
PASIGLEMŽE 	 pas'igl'e.^m.'Z'e
SMARKUOLIUS 	 sma.r.kuol'""ius
TIKRAI 	 t'ikr^ai
PASIUTO 	 pas'""iuto:
ŠUO 	 S^uo
TURBŪT 	 tu.r.b""u:t
NUDŽIUGO 	 nudZ'""iugo:
TĖVAS 	 t'""E:vas
LABAI 	 lab^ai
GERBIU 	 g'e.r.'b'""iu
KAIMYNĄ 	 kaim'""i:na:
EŽERAS 	 ^e:Z'eras
AKTI 	 ""akt'i
PRADĖJO 	 prad'""E:jo:
LAŠAI 	 laS^ai
KAPSI 	 k""ap's'i
TYLEI 	 t'^i:l'ei
VIENA 	 v'ien""a
KASA 	 kas""a
SUPINTA 	 sup'i.n.t""a
TĖVAS 	 t'""E:vas
RAZDAVO 	 r""azdavo:
TĄKĄ 	 t^a:ka:
TURBŪT 	 tu.r.b""u:t
AMPULĖ 	 ""a.m.pul'E:
SUSKILO 	 sus'k'""ilo:
MANE 	 man'""e
TAMSTA 	 t""a.m.sta
PAMIRŠAI 	 pam'i.r.S^ai
KAŠKĄ 	 kaSk^a:
BAMBA 	 b""a.m.ba
PO 	 p^o:
NOSIMI 	 n""o:s'im'i
METALINIS 	 m'etal'""in'is
IEŠMAS 	 ^ieSmas
UŽLINKO 	 uZ'l'i.^N.ko:
MŪSŪ 	 m""u:su:
PIETŪS 	 p'^ietu:s
WW 	 ww
LAUKE 	 l""auk'e
MOKINEI 	 mo:k'in'^ei
ŽIEDĖ 	 Z'^ied'E:
PUODUS 	 p""uodus
TĖVAS 	 t'""E:vas
AMŽINAS 	 ""a.m.'Z'inas
LIGONIS 	 l'ig""o:n'is
MANO 	 m""ano:
SAMTIS 	 s""a.m.'t'is
PRAPUOLĖ 	 prap""uol'E:
PUODUS 	 p""uodus
GRAMDYS 	 gr""a.m.'d'i:s
ILGAI 	 i.l.g^ai
OBUOLIŪ 	 o:buol'^iu:
SULTYS 	 s""u.l.'t'i:s
ADGAIVINO 	 adgaiv'""ino:
VAIKUS 	 vaik""us
AISTRA 	 aistr""a
PRAŽUDĖ 	 praZ""ud'E:
GARSEI 	 ga.^r.'s'ei
SKAITAU 	 skait^au
KNYGĄ 	 kn'^i:ga:
GLEŽNI 	 gl'eZ'n'""i
DAIGAI 	 daig^ai
SUDYGO 	 sud'""i:go:
ILGAI 	 i.l.g^ai
TAIKAI 	 t""aikai
KAIMYNUS 	 kaim'""i:nus
MŪSŪ 	 m""u:su:
TEMPAS 	 t'e.^m.pas
LĖTAS 	 l'^E:tas
TĖVAS 	 t'""E:vas
REMDAVO 	 r'e.^m.davo:
SIENAS 	 s'""ienas
DEKĄNAS 	 d'ek^a:nas
ASISTENTE 	 as'is't'e.^n.'t'e:
PASIKVIETĖ 	 pas'""ikv'iet'E:
MŪSŪ 	 m""u:su:
DIVIDENDAI 	 d'iv'id'e.^n.dai
DIDELI 	 d'id'el'""i
DEKTINĖ 	 d'ekt'""in'E:
KENKĖ 	 k'e.^N.'k'E:
SVEIKĄTAI 	 s'v'eik^a:tai
VAIKAI 	 vaik^ai
DENGĖ 	 d'e.^N.'g'E:
STOGĄ 	 st""o:ga:
Y 	 ^i:
MAIŠĄ 	 m^aiSa:
KIMŠO 	 k'i.^m.So:
ŠIUKŠLES 	 S'iukS'l'""es
ARKLY 	 ""a.r.'kl'i:
BIMBALAS 	 b'i.^m.balas
PUOLA 	 p""uola
TĖVAS 	 t'""E:vas
DĄRO 	 d^a:ro:
TVARKĄ 	 tva.^r.ka:
PRĄNAS 	 pr^a:nas
DOVANĄ 	 d""o:vana:
PAMETĖ 	 p""am'et'E:
VIRBALAIS 	 v'i.r.bal^ais
IŽDŪRĖ 	 iZd""u:r'E:
SKYLES 	 s'k'i:l'""es
DĖDĖS 	 d'^E:d'E:s
ADVOKĄTAS 	 advOk^a:tas
WW 	 ww
PARGRYŽO 	 pa.r.'gr'^i:Zo:
VAIKAS 	 v^aikas
ARKA 	 ""a.r.ka
DŽEUGĖSI 	 dZ'^eug'E:s'i
PERKANDO 	 p'""e.r.ka.n.do:
KARTŪ 	 k""a.r.tu:
PIPIRĄ 	 p'ip'""ira:
NURIJO 	 nur'""ijo:
GARDŪ 	 g""a.r.du:
KĄSNY 	 k""a:s'n'i:
VIENIJO 	 v'""ien'ijo:
BENDRAS 	 b'e.^n.dras
RŪPESTIS 	 r^u:p'es't'is
VIENAS 	 v'""ienas
ASISTENTAS 	 as'is't'e.^n.tas
ATĖJO 	 at'^E:jo:
VAIKAS 	 v^aikas
ANTIKA 	 ""a.n.'t'ika
SUSIDOMĖJO 	 sus'ido:m'""E:jo:
KANAPINIS 	 kanap'""in'is
PANTIS 	 p""a.n.'t'is
NUTRŪKO 	 nutr""u:ko:
PIETŪ 	 p'iet^u:
ŠALIS 	 Sal'""is
APLANKĖ 	 apla.^N.'k'E:
TVARTO 	 tv""a.r.to:
PAŠONĖ 	 paS""o:n'E:
PAŽALEVO 	 paZal'^e:vo:
VAIKO 	 v^aiko:
ŠŪKSNIS 	 S^u:ks'n'is
IŽGĄZDINO 	 iZg^a:z'd'ino:
TETOS 	 t'et^o:s
BOTĄGAS 	 bo:t^a:gas
PATIKO 	 pat'""iko:
GALBŪT 	 ga.l.b""u:t
SUBOBĖS 	 subo:b'^E:s
PETRAS 	 p'^e:tras
JONAS 	 j^o:nas
DARBO 	 d""a.r.bo:
TIKISI 	 t'""ik'is'i
PETRAS 	 p'^e:tras
BOGEMA 	 bOG'em""a
DOMISI 	 d^o:m'is'i
LIKO 	 l'""iko:
ŠEŠI 	 S'eS'""i
PARŠAI 	 pa.^r.Sai
NORI 	 n""o:r'i
PAŠIEPTI 	 paS'^iep't'i
TĖVUS 	 t'""E:vus
VIENA 	 v'ien""a
ŠIUKŠLĖ 	 S'""iukS'l'E:
TELIKO 	 t'el'""iko:
TĖVO 	 t'""E:vo:
ŽANDAS 	 Z""a.n.das
IŠTINO 	 iS't'""ino:
TAVO 	 t""avo:
DIKTANTAS 	 d'ikt""a.n.tas
LENGVAS 	 l'e.^N.gvas
DĖDĖ 	 d'^E:d'E:
KELTĄ 	 k'""e.l.ta:
SUGADINO 	 sugad'""ino:
VAIKĄ 	 v^aika:
GELDAVO 	 g'""e.l.davo:
BITĖS 	 b'""it'E:s
TETOS 	 t'et^o:s
MĖTA 	 m'E:t""a
PRAŽYDO 	 praZ'""i:do:
SUKIRMIJUS 	 suk'i.r.'m'""ijus
ŪMĖDĖ 	 u:m'E:d'^E:
TELIKO 	 t'el'""iko:
KEISTA 	 k'eist""a
PRIZMĖ 	 p'r'""iz'm'E:
STOVI 	 st""o:v'i
ARKLYS 	 a.r.'kl'^i:s
LEKE 	 l'^e:k'e
SPARČEI 	 spa.^r.'tS'ei
VANDENS 	 va.n.'d'e.^n.s
LYGIS 	 l'^i:g'is
PAKILO 	 pak'""ilo:
JONAS 	 j^o:nas
PAKLYDO 	 pakl'""i:do:
TAMSOJ 	 ta.m.s^o:j
OŠKA 	 o:Sk""a
KARKLĄ 	 ka.^r.kla:
PAGREUŽĖ 	 pagr'""euZ'E:
DĖDĖ 	 d'^E:d'E:
GARGŽDO 	 ga.^r.gZdo:
PIRKO 	 p'i.^r.ko:
SENIS 	 s'^e:n'is
ALKSNIU 	 a.l.'ks'n'""iu
PASIPIKTINO 	 pas'ip'""ikt'ino:
VAIKAI 	 vaik^ai
KALTI 	 ka.l.'t'""i
BUVO 	 b""uvo:
SENU 	 s'en""u
DALGIU 	 da.l.'g'""iu
PJAUS 	 p'j^aus
ŠUNS 	 Su.^n.s
ERZINTI 	 ""e.r.'z'i.n.'t'i
NEDERA 	 n'""ed'era
VIŠTOS 	 v'""iSto:s
ABDERGĖ 	 ab'd'""e.r.'g'E:
TAKUS 	 tak""us
GREIČEU 	 gr'eitS'^eu
PAŠERKIM 	 paS'""e.r.'k'i.m.
ŠUNIS 	 Sun'""is
ŽIEMĄ 	 Z'^iema:
TEMDAVO 	 t'""e.m.davo:
GREITAI 	 gr'^eitai
GREIČEU 	 gr'eitS'^eu
SEMK 	 s'""e.m.k
VANDENY 	 v""a.n.'d'en'i:
GRAŽUS 	 graZ""us
AKMUO 	 akm^uo
KĖPSO 	 k'""E:pso:
TAVO 	 t""avo:
KAPAI 	 kap^ai
SUTVARKYTI 	 sutva.r.'k'""i:t'i
MAMA 	 mam""a
KĄSA 	 k^a:sa
PIEVĄ 	 p'""ieva:
TĖVAS 	 t'""E:vas
IRZLUS 	 i.r.zl""us
PASIDĄRĖ 	 pas'id^a:r'E:
SENEI 	 s'en'^ei
PIRKAU 	 p'i.r.k^au
KNYGĄ 	 kn'^i:ga:
IEŠKO 	 ""ieSko:
DIRŽŪ 	 d'i.r.Z^u:
TĖVAS 	 t'""E:vas
PETRAS 	 p'^e:tras
RĄSĄ 	 r^a:sa:
SUTIKO 	 sut'""iko:
SŪNAUS 	 su:n^aus
ROGĖS 	 r^o:g'E:s
PRAPUOLĖ 	 prap""uol'E:
MIŠKUOSE 	 m'iSk^uos'e
RŪDĄ 	 r""u:da:
KĄSA 	 k^a:sa
DAIKTUS 	 d""aiktus
UŽGRŪDO 	 uZgr""u:do:
TENAI 	 t'en^ai
DĖDĖS 	 d'^E:d'E:s
INTUITSIJA 	 i.n.tu""its'ija
PRASTA 	 prast""a
PIRKO 	 p'i.^r.ko:
PINTŪ 	 p'i.n.t^u:
KREPŠIŪ 	 kr'ep'S'^iu:
TĖVAI 	 t'E:v^ai
KELS 	 k'e.^l.s
PUOTĄ 	 p^uota:
KAŠKOKY 	 kaSk""o:k'i:
BELGĄ 	 b'e.^l.ga:
PASIKVIESIME 	 pas'ikv'^ies'im'e
TĖVAS 	 t'""E:vas
NEVENGDAVO 	 n'ev'""e.N.gdavo:
PAGYRIMO 	 pag'i:r'""imo:
KIRČIO 	 k'i.^r.'tS'io:
ŽENKLO 	 Z'""e.N.klo:
TRŪKSTA 	 tr""u:ksta
GREIT 	 gr'^eit
EUKALIPTAS 	 eukal'""iptas
UŽAUGA 	 uZ""auga
PAŽĄDINO 	 paZ^a:d'ino:
SEUBINGAS 	 s'eub'""i.N.gas
RAUDOJIMAS 	 raud""o:jimas
KAŠKIENO 	 kaS'k'ien^o:
DOGAS 	 d""Ogas
ATKLYDO 	 at'kl'""i:do:
VAIKĄ 	 v^aika:
ŠOKAS 	 S""Okas
IŠTIKO 	 iS't'""iko:
VAIKAI 	 vaik^ai
DUMDAVO 	 d""u.m.davo:
SPARČEI 	 spa.^r.'tS'ei
TETA 	 t'et""a
STUMTŪ 	 st""u.m.tu:
KĖDE 	 k'^E:d'e:
TURBŪT 	 tu.r.b""u:t
IŠEITIES 	 iS'eit'^ies
NEBUVO 	 n'eb""uvo:
SĄKO 	 s^a:ko:
TIKAU 	 t'ik^au
DARBUI 	 d""a.r.bui
ILGAI 	 i.l.g^ai
PEŠI 	 p'""eS'i
GAIDY 	 g^aid'i:
SENEU 	 s'en'^eu
GYVENDAVO 	 g'i:v'""e.n.davo:
TRUMPAI 	 tru.m.p^ai
TĖVAS 	 t'""E:vas
AMŽINAI 	 a.m.'Z'in^ai
PAMIRŠTA 	 pam'i.^r.Sta
NORIU 	 n""o:r'iu
TAMSIŪ 	 ta.m.'s'^iu:
KĖDŽIŪ 	 k'E:dZ'^iu:
DAUG 	 d^aug
NEBAMBĖKI 	 n'eba.m.'b'""E:k'i
TĖVAI 	 t'""E:vai
KEULĖS 	 k'^eul'E:s
ĖDALAS 	 ^E:dalas
AUŠTA 	 ""auSta
VAKARE 	 vakar'""e
TĖTĖ 	 t'^E:t'E:
PARĖJO 	 par'^E:jo:
TĖVĄ 	 t'""E:va:
DĖDĖ 	 d'^E:d'E:
PAKVIETĖ 	 p""akv'iet'E:
MŪSŪ 	 m""u:su:
KATĖ 	 kat'^E:
PRAPUOLĖ 	 prap""uol'E:
MŪSŪ 	 m""u:su:
PIRTIS 	 p'i.r.'t'""is
UŠKURTA 	 uSku.r.t""a
BUVO 	 b""uvo:
BIRŽELIO 	 b'i.r.'Z'^e:l'io:
PABAIGA 	 pabaig""a
TĖVAS 	 t'""E:vas
IRZLEI 	 i.r.'z'l'^ei
KALBĖJO 	 ka.l.'b'""E:jo:
DARBO 	 d""a.r.bo:
BIRŽA 	 b'""i.r.Za
PASIŪLĖ 	 pas'""iu:l'E:
MANAU 	 man^au
SPIRTŪ 	 s'p'""i.r.tu:
KUMELĖ 	 kum'^e:l'E:
NEŠĖ 	 n'^e:S'E:
SUNKŪ 	 su.^N.ku:
KELMĄ 	 k'""e.l.ma:
DRABUŽIUS 	 drabuZ'""ius
LOKYS 	 lo:k'^i:s
SUDRĄSKĖ 	 sudr^a:s'k'E:
IR 	 i.^r.
AŠ 	 ""aS
NELOŠEU 	 n'""elo:S'eu
KVAILIO 	 kv^ail'io:
TURBŪT 	 tu.r.b""u:t
SĄKALO 	 s^a:kalo:
PLUNKSNA 	 pl""u.N.ksna
VAIKAMS 	 vaik""a.m.s
LOGOPEDAS 	 lOgOp'""edas
PATIKO 	 pat'""iko:
PRADĖS 	 prad'^E:s
URKSTI 	 u.^r.'ks't'i
VILKAS 	 v'i.^l.kas
VARLĖ 	 va.r.'l'^E:
KURKE 	 ku.^r.'k'e
GARSEI 	 ga.^r.'s'ei
LABAI 	 lab^ai
GURGE 	 gu.^r.'g'e
PILVAS 	 p'i.^l.vas
RUSIJOS 	 r""us'ijo:s
IMPERIJA 	 i.m.'p'""er'ija
SUŽLUGO 	 suZl""ugo:
ŠITA 	 S'it""a
GIMDYKLA 	 g'i.m.'d'i:kl""a
ŠVARI 	 Svar'""i
TIKRAS 	 t'""ikras
DŽEUKSMAS 	 dZ'^euksmas
PASITIKTI 	 pas'it'""ikt'i
JY 	 j^i:
KELNĖS 	 k'""e.l.'n'E:s
NEPERDŽIŪTI 	 n'ep'""e.r.'dZ'iu:t'i
TURĖS 	 tur'^E:s
LAUKAIS 	 lauk^ais
LEKI 	 l'ek'""i
SPARČEI 	 spa.^r.'tS'ei
GREIT 	 gr'^eit
IŠLEPAI 	 iS'l'ep^ai
TU 	 t""u
BŪTI 	 b""u:t'i
AUKLE 	 ""aukl'e
TEKS 	 t'""eks
VIENAS 	 v'""ienas
JAPONAS 	 jap""Onas
ATVYKO 	 at'v'^i:ko:
TETA 	 t'et""a
PAJATSUS 	 pajats""us
PASIUVO 	 pas'""iuvo:
MANO 	 m""ano:
KOJA 	 k""o:ja
SUŽEISTA 	 suZ'eist""a
DĖDĖ 	 d'^E:d'E:
TETĄ 	 t'^e:ta:
PARVEDĖ 	 pa.^r.'v'ed'E:
TĖVUS 	 t'E:v""us
IŠTIKO 	 iS't'""iko:
ŠOKAS 	 S""Okas
KNYGĄ 	 kn'^i:ga:
TĖVAS 	 t'""E:vas
ATNEŠĖ 	 ""at'n'eS'E:
TURBŪT 	 tu.r.b""u:t
WW 	 ww
UODAS 	 ""uodas
YGĖLĖ 	 i:g'""E:l'E:
MANO 	 m""ano:
PUODAS 	 p""uodas
APVIRTO 	 ap'v'i.^r.to:
GRAŽEI 	 graZ'^ei
SRUOGA 	 sr""uoga
PADAŽYTA 	 padaZ'""i:ta
VISI 	 v'is'""i
ŽIŪROVAI 	 Z'iu:r^o:vai
SUKLUSO 	 sukl""uso:
DINGO 	 d'i.^N.go:
SIŪSTINI 	 s'iu:s't'in'""i
KREPŠEI 	 kr'ep'S'^ei
BUVO 	 b""uvo:
SUNKI 	 su.N.'k'""i
TALKA 	 ta.l.k""a
VIENERES 	 v'""ien'er'es
RUNKTYNES 	 ru.N.'kt'i:n'""es
LAIMĖJOM 	 laim'""E:jo:m
IŠAUŠ 	 iS^auS
ANKSTUS 	 a.N.kst""us
RYTAS 	 r'""i:tas
VANDENS 	 va.n.'d'e.^n.s
BANGA 	 ba.N.g""a
PASIGĄVO 	 pas'ig^a:vo:
NAME 	 nam'""e
TVANKU 	 tva.N.k""u
PASIDĄRĖ 	 pas'id^a:r'E:
TĖVAS 	 t'""E:vas
ANKSTI 	 a.N.'ks't'""i
PARVAŽEVO 	 pa.r.vaZ'^e:vo:
MIŠKO 	 m'""iSko:
TANKMĖ 	 ta.N.'km'^E:
BAUGINO 	 baug'""ino:
MAŽA 	 maZ""a
BANGELĖ 	 ba.N.'g'^e:l'E:
PASIVIJO 	 pas'iv'""ijo:
TURĖS 	 tur'^E:s
IEŠKOTI 	 ieSk""o:t'i
UOGŪ 	 ""uogu:
